K,split,accuracy,precision,recall,f1,auc
1,train,0.9937442695599022,0.9120414564298377,0.998507017020006,0.9533176537666596,0.999796236294806
1,val,0.9362422083704364,0.5466399197592778,0.6736711990111248,0.6035437430786268,0.9436064906022579
1,test,0.9671039749363619,0.8143105446118193,0.7634437805540467,0.7880571909167368,0.9433351332805178
3,train,0.9945274297066015,0.9220063387074549,0.9989549119140042,0.9589394482264422,0.9998513262790896
3,val,0.9374888691006233,0.5540950455005056,0.6773794808405439,0.6095661846496107,0.945492064670689
3,test,0.9696495006853338,0.8374151667158454,0.7707767517653449,0.8027153160797624,0.9422723478022118
5,train,0.9948426039119804,0.9255113322277502,0.9998507017020006,0.9612458734031865,0.9998952866043198
5,val,0.9343722172751558,0.5349514563106796,0.681087762669963,0.5992387166938553,0.9464966208173593
5,test,0.9703674694863259,0.8460620525059666,0.7702335687126561,0.8063690645436451,0.947552230703554
7,train,0.995090922982885,0.9289678135405105,0.9997014034040012,0.9630375377534877,0.9998993509254741
7,val,0.9364203027604631,0.5467059980334317,0.6872682323856613,0.6089813800657174,0.9425730515388664
7,test,0.9668864086330309,0.8249097472924187,0.7447039652362847,0.7827576363117328,0.9489420199336014
