K,split,accuracy,precision,recall,f1,auc
1,train,0.792223792787286,0.22806573957016435,0.9426694535682293,0.3672745252014077,0.9441405184624776
1,val,0.686286731967943,0.18025447690857682,0.9456118665018541,0.30279042153176333,0.8674639458761423
1,test,0.5378021452037508,0.14330977333658299,0.9581749049429658,0.2493286219081272,0.8746078315611205
3,train,0.7919181693154034,0.22748780928300524,0.9402806808002389,0.36634383270802434,0.9445273868431293
3,val,0.6873552983081033,0.1804635761589404,0.9431396786155748,0.30295810998610284,0.8670806986320885
3,test,0.5425015773556991,0.14454918032786884,0.9579033134166214,0.2511929349761413,0.8744375320283178
5,train,0.7931311124694377,0.2287133739483609,0.9416243654822335,0.3680340783100893,0.9434958558883608
5,val,0.6832591273374888,0.17822014051522247,0.9406674907292955,0.2996652884426068,0.8639902858507276
5,test,0.5332332528338011,0.14209763170613823,0.9581749049429658,0.24749210803226937,0.8693463969193668
7,train,0.7925294162591687,0.22821171448210992,0.9417736637802329,0.36739567255889805,0.9438387357616457
7,val,0.6840605520926091,0.17859657357427833,0.9406674907292955,0.3001972386587771,0.8626449468714462
7,test,0.5260753214542132,0.14038224659276036,0.9595328625746876,0.24493050019064785,0.8649279488190806
